,0diff
0,1.6016846
1,1.3060913
2,0.7199707
3,0.52630615
4,1.0924072
5,-0.66503906
6,2.0015259
7,5.3708496
8,1.1719971
9,0.15216064
10,0.5472412
11,4.4639893
12,5.074829
13,1.4389038
14,2.7441406
15,1.2739258
16,0.3885498
17,0.57788086
18,-0.46557617
19,0.35198975
20,0.86291504
21,-0.32507324
22,-0.35217285
23,-1.6521606
24,-2.8162231
25,-2.5610352
26,-3.637085
27,-4.507202
28,-5.682068
29,-5.421509
30,-4.427429
31,-4.4973755
32,-8.577087
33,-13.714294
34,-15.688477
35,-17.282806
36,-13.371399
37,-7.6904297
38,0.10675049
39,5.690094
40,8.032806
41,12.971649
42,20.55371
43,27.017609
44,33.192963
45,2.375061
46,-8.017822
47,18.11145
