,50diff
0,0.079589844
1,-2.2146606
2,-0.06982422
3,0.9834595
4,-2.123169
5,0.5203247
6,-0.6999512
7,-0.9906616
8,0.91363525
9,2.2905273
10,2.1832275
11,-1.1514282
12,-1.4551392
13,0.78686523
14,-0.044799805
15,-0.9022827
16,2.2039185
17,1.1092529
18,-0.74468994
19,-0.5084839
20,-0.6881714
21,-0.12561035
22,-1.9214478
23,-3.6557312
24,-3.3306885
25,-3.0960388
26,-4.6954346
27,-7.1922607
28,-7.4892273
29,-7.270874
30,-7.406372
31,-8.997223
32,-12.031555
33,-15.188568
34,-16.579956
35,-15.018646
36,-11.4010315
37,-7.3185425
38,-3.3415527
39,0.5796814
40,6.03244
41,3.4544983
42,14.015228
43,22.524567
44,33.524353
45,52.144287
46,25.173584
47,-1.3985596
