,-100diff
0,6.2230225
1,6.147278
2,5.3518677
3,4.820923
4,4.6187134
5,4.7073975
6,4.2697144
7,0.67974854
8,-1.5527344
9,2.1195679
10,3.8822021
11,1.5432739
12,2.4525146
13,1.1276245
14,-0.035339355
15,2.8945312
16,1.9291382
17,-0.4557495
18,-1.8482666
19,0.09698486
20,1.5979614
21,1.017395
22,0.030456543
23,0.12774658
24,-0.586792
25,-1.3295288
26,-0.8380127
27,-2.0083008
28,-2.7208862
29,0.79907227
30,-0.7369995
31,-2.4302979
32,-6.9019165
33,-10.823486
34,-13.018616
35,-2.3135376
36,11.39624
37,12.190674
38,7.4084473
39,1.4820557
40,12.666992
41,15.483887
42,13.430603
43,5.451355
44,2.6903076
45,-23.4021
46,-44.31848
47,-31.295776
