,-100mse
0,259.45184
1,261.0076
2,262.52548
3,263.68353
4,264.93594
5,265.9929
6,267.28964
7,268.12775
8,267.62952
9,267.35138
10,268.6893
11,269.29248
12,269.46094
13,270.51874
14,270.02475
15,270.50107
16,271.47202
17,271.46564
18,271.24414
19,270.5415
20,271.29263
21,271.34048
22,271.80133
23,271.3557
24,271.8652
25,271.06232
26,271.20044
27,270.6433
28,270.1963
29,269.28287
30,270.59583
31,268.91437
32,269.38068
33,265.4634
34,263.96893
35,258.9541
36,262.81216
37,264.65222
38,268.9075
39,268.35645
40,269.64853
41,274.68994
42,277.39047
43,281.40524
44,280.11615
45,282.7504
46,268.4151
47,260.59116
