,50mse
0,257.7932
1,257.8131
2,256.68588
3,257.7782
4,257.1776
5,256.7166
6,257.43777
7,256.36664
8,256.94244
9,256.82346
10,258.0877
11,257.91507
12,257.512
13,257.1875
14,257.90543
15,257.1651
16,257.45428
17,258.26706
18,258.0089
19,257.8947
20,257.75467
21,257.55063
22,257.69186
23,256.5899
24,255.864
25,254.92456
26,254.31598
27,252.57684
28,250.71985
29,248.83223
30,247.08441
31,245.12904
32,242.5858
33,239.11327
34,234.99152
35,230.82329
36,227.4822
37,225.12277
38,223.82292
39,223.452
40,224.11276
41,226.46822
42,225.84001
43,233.47583
44,237.1023
45,250.238
46,263.17444
47,262.8248
